City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
184,Tigzirt,DZ,36.8886,4.1198,55.78,57,76,2.91,broken clouds
185,Barsovo,RU,61.1667,73.1667,15.93,95,100,4.29,overcast clouds
186,Marawi,PH,7.9986,124.2928,74.64,53,67,8.01,broken clouds
187,Dikson,RU,73.5069,80.5464,-2.38,91,100,5.44,overcast clouds
188,Khandyga,RU,62.6667,135.6,-25.26,92,80,0.22,broken clouds
189,Kieta,PG,-6.2167,155.6333,85.26,75,100,11.92,light rain
190,Nanning,CN,22.8167,108.3167,59.97,48,11,5.91,few clouds
191,Vila Franca do Campo,PT,37.7167,-25.4333,57.61,82,100,8.57,overcast clouds
192,Newport,GB,51.5877,-2.9984,43.77,86,31,7.49,scattered clouds
193,Emerald,AU,-23.5333,148.1667,87.35,31,0,16.08,clear sky
194,Sirte,LY,31.2089,16.5887,54.01,53,6,12.68,clear sky
195,Shetpe,KZ,44.1667,52.1167,33.44,96,100,14.07,overcast clouds
196,Saint-Augustin,CA,51.226,-58.6502,-9.22,85,100,9.66,overcast clouds
197,Urla,TR,38.3229,26.764,45.21,63,1,4.23,clear sky
198,Miandrivazo,MG,-19.5167,45.4667,80.06,80,65,4.07,broken clouds
199,Kyzyl-Suu,KG,42.3414,78.0056,22.42,57,5,3.87,clear sky
200,Chancay,PE,-11.5714,-77.2672,69.67,84,98,5.7,overcast clouds
201,Malé,MV,4.1748,73.5089,82.11,68,25,10.16,scattered clouds
202,Mazatán,MX,14.8667,-92.45,71.67,100,0,0.0,clear sky
203,Longyearbyen,SJ,78.2186,15.6401,13.84,57,20,27.63,few clouds
204,Atikokan,CA,48.7555,-91.6216,-22.29,100,53,1.39,broken clouds
205,Khandagayty,RU,50.7333,92.05,-11.69,98,90,2.75,overcast clouds
206,Griffith,US,41.5284,-87.4237,16.11,75,100,3.0,overcast clouds
207,Keokuk,US,40.3973,-91.3849,10.36,66,20,9.22,few clouds
208,Port Elizabeth,ZA,-33.918,25.5701,68.09,81,94,10.02,light rain
209,Castelo do Piauí,BR,-5.3222,-41.5525,72.77,89,75,2.51,broken clouds
210,Kemin,KG,42.7846,75.6892,33.53,51,0,11.21,clear sky
211,Isangel,VU,-19.55,169.2667,77.11,94,100,3.44,moderate rain
212,Kachīry,KZ,53.0675,76.1036,10.94,81,32,8.14,scattered clouds
213,Guerrero Negro,MX,27.9769,-114.0611,59.18,35,0,2.77,clear sky
214,Hūn,LY,29.1268,15.9477,48.15,44,2,4.45,clear sky
215,Padang,ID,-0.9492,100.3543,82.45,80,91,2.08,overcast clouds
216,Makabe,JP,36.2667,140.1,49.82,20,32,8.7,scattered clouds
217,Walvis Bay,NA,-22.9575,14.5053,66.09,84,76,3.56,broken clouds
218,Thompson,CA,55.7435,-97.8558,-33.45,100,11,2.73,few clouds
219,Iquitos,PE,-3.7481,-73.2472,73.44,100,0,2.3,clear sky
220,Verkhnevilyuysk,RU,63.4453,120.3167,-8.37,89,78,2.42,broken clouds
221,Lanzhou,CN,36.0564,103.7922,23.4,81,100,8.3,light snow
222,Khatanga,RU,71.9667,102.5,-35.09,100,87,2.71,overcast clouds
223,Lufilufi,WS,-13.8745,-171.5986,79.79,78,100,15.68,moderate rain
224,Kudat,MY,6.8837,116.8477,83.19,72,61,14.58,moderate rain
225,Esperance,AU,-33.8667,121.9,83.8,46,3,16.28,clear sky
226,Havelock,US,34.8791,-76.9013,64.02,95,100,3.0,light rain
227,Najrān,SA,17.4924,44.1277,67.91,58,2,5.73,clear sky
228,Barcelona,ES,41.3888,2.159,53.33,87,40,6.91,mist
229,Saldanha,ZA,-33.0117,17.9442,61.77,71,1,8.19,clear sky
230,Mar del Plata,AR,-38.0023,-57.5575,67.08,86,100,3.0,moderate rain
231,Paarl,ZA,-33.7338,18.9752,65.79,70,0,8.99,clear sky
232,Rocha,UY,-34.4833,-54.3333,65.34,97,68,3.33,broken clouds
233,Hammerfest,NO,70.6634,23.6821,19.85,79,75,10.36,broken clouds
234,Hofn,IS,64.2539,-15.2082,26.33,66,100,14.74,overcast clouds
235,Galesong,ID,-5.3166,119.3661,87.82,70,99,10.11,overcast clouds
236,Kichera,RU,55.9375,110.0997,6.22,90,100,3.36,overcast clouds
237,Ikongo,MG,-21.8833,47.4333,71.71,98,100,8.57,moderate rain
238,Antalaha,MG,-14.9003,50.2788,79.61,71,100,3.24,overcast clouds
239,North Bend,US,43.4065,-124.2243,48.16,99,100,4.61,overcast clouds
240,George Town,MY,5.4112,100.3354,90.9,62,20,6.91,few clouds
241,Port Antonio,JM,18.18,-76.4612,70.92,80,26,8.81,scattered clouds
242,Tautira,PF,-17.7333,-149.15,82.42,74,28,14.2,scattered clouds
243,Pangnirtung,CA,66.1451,-65.7125,-26.59,98,100,1.48,overcast clouds
244,Kedrovyy,RU,56.1667,91.8167,23.41,79,100,9.66,overcast clouds
245,Half Moon Bay,US,37.4636,-122.4286,56.32,63,0,5.75,clear sky
246,Rāvar,IR,31.2656,56.8055,62.31,31,86,3.15,overcast clouds
247,Nikolskoye,RU,59.7035,30.7861,18.39,88,100,13.51,light snow
248,Luanda,AO,-8.8368,13.2343,73.4,88,75,5.75,broken clouds
249,Nehe,CN,48.4833,124.8333,7.09,76,79,7.65,broken clouds
250,Poronaysk,RU,49.2167,143.1167,18.55,79,100,12.26,overcast clouds
251,Hasaki,JP,35.7333,140.8333,50.29,29,21,11.07,few clouds
252,Puerto Palomas,MX,31.7667,-107.6167,25.93,44,0,7.27,clear sky
253,San Patricio,US,28.017,-97.5169,39.83,77,6,12.33,clear sky
254,Leyland,GB,53.6979,-2.6876,42.67,87,67,16.06,broken clouds
255,Huarmey,PE,-10.0681,-78.1522,70.32,85,57,7.52,broken clouds
256,Kavaratti,IN,10.5669,72.642,77.94,58,81,4.79,broken clouds
257,Matara,LK,5.9485,80.5353,84.43,61,52,4.5,broken clouds
258,Byron Bay,AU,-28.65,153.6167,76.05,66,81,22.41,light rain
259,Prince Rupert,CA,54.3161,-130.3201,42.89,87,100,17.27,mist
260,Flinders,AU,-34.5833,150.8552,74.17,66,58,11.01,broken clouds
261,Saskylakh,RU,71.9167,114.0833,-13.9,99,99,4.38,overcast clouds
262,Oktyabr'skiy,RU,54.4815,53.471,22.57,94,100,3.78,overcast clouds
263,Dunedin,NZ,-45.8742,170.5036,57.79,56,72,1.99,broken clouds
264,Cidreira,BR,-30.1811,-50.2056,72.0,93,10,3.83,clear sky
265,Richards Bay,ZA,-28.783,32.0377,71.42,90,100,14.47,light rain
266,Iwaki,JP,37.05,140.8833,39.02,42,52,7.0,broken clouds
267,Bud,US,39.447,-86.1758,19.9,86,90,8.99,light snow
268,Casa Nova,BR,-9.4167,-41.1333,78.78,63,95,15.57,overcast clouds
269,Leh,IN,34.1667,77.5833,1.27,87,88,2.73,overcast clouds
270,Tuatapere,NZ,-46.1333,167.6833,60.82,57,18,9.06,few clouds
271,Husavik,IS,66.0449,-17.3389,15.64,94,98,7.85,overcast clouds
272,Nome,US,64.5011,-165.4064,0.16,65,0,0.0,clear sky
273,Forsytheganj,BY,52.6333,29.7333,17.33,94,98,11.77,overcast clouds
274,Ambon City,ID,-3.6954,128.1814,89.74,62,40,8.05,scattered clouds
275,Harper,LR,4.375,-7.7169,77.79,84,79,4.45,light rain
276,Westport,US,41.1415,-73.3579,29.75,86,100,4.0,overcast clouds
277,Lorengau,PG,-2.0226,147.2712,84.85,65,98,9.95,overcast clouds
278,Kudahuvadhoo,MV,2.6708,72.8944,82.0,72,41,11.1,scattered clouds
279,Fortuna,US,40.5982,-124.1573,45.52,94,75,0.0,broken clouds
280,Spas-Klepiki,RU,55.1347,40.1767,7.61,96,45,6.8,scattered clouds
281,Dubrovnik,HR,42.6481,18.0922,47.84,81,75,6.91,broken clouds
282,Sakakah,SA,29.9697,40.2064,47.77,70,8,12.68,clear sky
283,Danané,CI,7.2596,-8.155,63.52,59,14,2.48,few clouds
284,Whitefish,US,48.4111,-114.3376,38.1,82,100,4.61,overcast clouds
285,Birao,CF,10.2849,22.7882,65.82,17,40,12.82,scattered clouds
286,Devils Lake,US,48.1128,-98.8651,-3.89,79,100,10.0,overcast clouds
287,Shingū,JP,33.7333,135.9833,41.99,46,35,16.4,scattered clouds
288,Aleksandrov Gay,RU,50.147,48.5704,23.27,93,100,9.93,overcast clouds
289,Banff,CA,51.1762,-115.5698,16.34,97,83,6.67,broken clouds
290,Valparaíso,CL,-33.0393,-71.6273,56.84,94,0,4.61,clear sky
291,Los Algarrobos,PA,8.5,-82.4333,77.45,76,9,5.21,clear sky
292,Qaqortoq,GL,60.7167,-46.0333,5.0,48,3,25.39,clear sky
293,Zachary,US,30.6485,-91.1565,34.74,87,100,12.66,overcast clouds
294,Carballo,ES,43.213,-8.691,48.87,90,96,7.76,overcast clouds
295,Benavente,ES,42.0025,-5.6783,39.88,86,99,9.01,overcast clouds
296,Bar Harbor,US,44.3876,-68.2039,18.91,84,100,1.99,overcast clouds
297,Laas,IT,46.6166,10.7002,40.46,94,40,8.3,scattered clouds
298,Bathsheba,BB,13.2167,-59.5167,74.01,68,20,8.05,few clouds
299,Kashgar,CN,39.4547,75.9797,32.23,74,40,6.71,scattered clouds
300,Honiara,SB,-9.4333,159.95,85.5,70,100,7.2,moderate rain
301,Portland,US,45.5234,-122.6762,49.6,90,75,1.01,broken clouds
302,Pozo Colorado,PY,-23.4923,-58.7972,75.9,84,92,3.98,heavy intensity rain
303,Hastings,GB,50.8552,0.5729,38.97,82,0,13.15,clear sky
304,Primalkinskoye,RU,43.7467,44.0083,32.85,62,100,12.37,snow
305,Vostok,RU,46.4856,135.8833,0.57,87,100,6.89,overcast clouds
306,Vanavara,RU,60.34,102.2797,12.81,91,100,8.55,light snow
307,Katsuura,JP,35.1333,140.3,48.31,36,98,6.46,overcast clouds
308,Fairbanks,US,64.8378,-147.7164,6.1,79,100,0.0,light snow
309,Kargasok,RU,59.0556,80.8572,23.04,94,100,11.34,light snow
310,Ust-Kuyga,RU,70.0167,135.6,-36.02,100,99,4.14,overcast clouds
311,Yulara,AU,-25.2406,130.9889,87.64,16,0,8.05,clear sky
312,Caucayá,CO,-0.1934,-74.7819,71.87,99,67,1.81,broken clouds
313,Departamento de Maldonado,UY,-34.6667,-54.9167,65.59,96,74,0.89,broken clouds
314,Neiafu,TO,-18.65,-173.9833,79.48,89,75,10.36,broken clouds
315,Bambanglipuro,ID,-7.95,110.2833,85.66,67,58,12.39,broken clouds
316,Laguna,US,38.421,-121.4238,54.1,72,0,0.0,clear sky
317,Maltahöhe,NA,-24.8333,16.9833,70.38,49,23,11.01,few clouds
318,Krasnyy Chikoy,RU,50.3643,108.7512,15.33,82,100,5.57,overcast clouds
319,Mareeba,AU,-17.0,145.4333,81.66,84,95,3.02,overcast clouds
320,Gayny,RU,60.3071,54.3241,12.29,93,100,5.95,overcast clouds
321,San Matías,BO,-16.3667,-58.4,73.31,91,57,5.03,light rain
322,Mahon,ES,39.8885,4.2658,48.76,93,20,3.44,few clouds
323,Międzyrzec Podlaski,PL,51.9864,22.7825,34.2,96,100,17.16,light snow
324,Macklin,CA,52.3334,-109.9348,21.22,97,100,4.0,overcast clouds
325,Alindao,CF,5.0267,21.2088,70.47,35,86,1.5,overcast clouds
326,Shimoda,JP,34.6667,138.95,48.56,44,19,29.42,few clouds
327,Verkhoyansk,RU,67.5447,133.385,-29.74,97,73,0.43,broken clouds
328,Berezovyy,RU,51.6667,135.7,13.44,86,100,1.63,overcast clouds
329,Ketchikan,US,55.3422,-131.6461,45.07,70,40,9.22,scattered clouds
330,Caçu,BR,-18.5567,-51.1308,71.31,86,97,2.86,overcast clouds
331,Ixtapa,MX,20.7,-105.2,64.63,84,6,1.83,clear sky
332,Grand Gaube,MU,-20.0064,57.6608,81.0,84,100,10.0,overcast clouds
333,Sooke,CA,48.3746,-123.7276,48.07,88,98,36.82,overcast clouds
334,Abu Dhabi,AE,24.4667,54.3667,66.31,65,0,1.99,clear sky
335,Lagoa,PT,39.05,-27.9833,57.56,82,84,21.54,broken clouds
336,College,US,64.8569,-147.8028,5.58,79,100,0.0,light snow
337,Marabu,MY,4.4148,114.0089,89.74,66,40,3.44,scattered clouds
338,Mattru,SL,7.6244,-11.8332,69.96,98,24,2.04,few clouds
